fpl_id,fpl_name,understat_name,understat_id,normalized_name
355.0,Erling Haaland,Erling Haaland,8260,erling haaland
362.0,Cole Palmer,Cole Palmer,8497,cole palmer
415.0,Alexander Isak,Alexander Isak,5232,alexander isak
85.0,Dominic Solanke,Dominic Solanke,1679,dominic solanke
353.0,Phil Foden,Phil Foden,6055,phil foden
60.0,Ollie Watkins,Ollie Watkins,8865,ollie watkins
308.0,Mohamed Salah,Mohamed Salah,1250,mohamed salah
516.0,Son Heung-min,Son Heung-Min,453,son heungmin
526.0,Jarrod Bowen,Jarrod Bowen,1776,jarrod bowen
232.0,Jean-Philippe Mateta,Jean-Philippe Mateta,5735,jeanphilippe mateta
19.0,Bukayo Saka,Bukayo Saka,7322,bukayo saka
468.0,Chris Wood,Chris Wood,4456,chris wood
211.0,Nicolas Jackson,Nicolas Jackson,10048,nicolas jackson
6.0,Kai Havertz,Kai Havertz,5220,kai havertz
119.0,Yoane Wissa,Yoane Wissa,5786,yoane wissa
,,Matheus Cunha,7080,matheus cunha
26.0,Leandro Trossard,Leandro Trossard,7698,leandro trossard
,,Hee-Chan Hwang,8845,heechan hwang
,,Richarlison,6026,richarlison
412.0,Anthony Gordon,Anthony Gordon,8150,anthony gordon
226.0,Eberechi Eze,Eberechi Eze,8706,eberechi eze
,,Darwin Núñez,10720,darwin nunez
343.0,Julián Álvarez,Julián Álvarez,10846,julian alvarez
326.0,Carlton Morris,Carlton Morris,11717,carlton morris
,,Bruno Fernandes,1228,bruno fernandes
34.0,Leon Bailey,Leon Bailey,5221,leon bailey
,,Diogo Jota,6854,diogo jota
236.0,Michael Olise,Michael Olise,9948,michael olise
617.0,Rasmus Højlund,Rasmus Højlund,11055,rasmus hjlund
314.0,Elijah Adebayo,Elijah Adebayo,11718,elijah adebayo
433.0,Callum Wilson,Callum Wilson,468,callum wilson
,,Douglas Luiz,6122,douglas luiz
108.0,Bryan Mbeumo,Bryan Mbeumo,6552,bryan mbeumo
,,João Pedro,8272,joao pedro
,,Rodrigo Muniz,10717,rodrigo muniz
216.0,Raheem Sterling,Raheem Sterling,618,raheem sterling
,,Rodri,2496,rodri
,,Martin Odegaard,2517,martin odegaard
205.0,Callum Hudson-Odoi,Callum Hudson-Odoi,6456,callum hudsonodoi
501.0,Dejan Kulusevski,Dejan Kulusevski,6691,dejan kulusevski
303.0,Luis Díaz,Luis Díaz,10408,luis diaz
297.0,Cody Gakpo,Cody Gakpo,11296,cody gakpo
82.0,Antoine Semenyo,Antoine Semenyo,11363,antoine semenyo
689.0,Mohammed Kudus,Mohammed Kudus,12027,mohammed kudus
