player_id,first_name,second_name,name,position,team,price,status,news,chance_of_playing_next_round,selected_by_percent,form,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,influence,creativity,threat,ict_index,bps,bonus,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_gw1,goals_gw1,assists_gw1,clean_sheets_gw1,bonus_gw1,bps_gw1,total_points_gw1,started_gw1,played_gw1,availability,availability_multiplier,xmins,start_probability,rotation_risk,reliable_starter
14,Eberechi,Eze,Eze,MID,Arsenal,6.5,a,,,1.8,1.0,1.0,1,14,0,0,0,0.04,0.0,0.0,1.8,1.0,0.1,4,0,4997,37379,4997,37379,14.0,0.0,0.0,0.0,0.0,4.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
15,Martin,Ødegaard,Ødegaard,MID,Arsenal,6.5,a,,,11.4,11.0,11.0,11,75,1,0,1,0.21,0.1,50.6,41.5,31.0,12.3,41,3,249811,29195,249811,29195,75.0,1.0,0.0,1.0,3.0,41.0,11.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
16,Noni,Madueke,Madueke,MID,Arsenal,6.5,a,,,0.3,1.0,1.0,1,22,0,0,0,0.0,0.04,9.4,43.1,0.0,5.3,8,0,1104,6818,1104,6818,22.0,0.0,0.0,0.0,0.0,8.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
17,Mikel,Merino Zazón,Merino,MID,Arsenal,6.0,a,,,0.6,1.0,1.0,1,14,0,0,0,0.14,0.02,3.6,1.2,14.0,1.9,5,0,2113,13478,2113,13478,14.0,0.0,0.0,0.0,0.0,5.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
18,Gabriel,Martinelli Silva,Martinelli,MID,Arsenal,6.4,a,,,0.2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1113,6047,1113,6047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
19,Martín,Zubimendi Ibáñez,Zubimendi,MID,Arsenal,5.5,a,,,1.0,1.0,1.0,1,22,0,0,0,0.0,0.02,3.8,2.3,0.0,0.6,3,0,1382,17254,1382,17254,22.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
20,Max,Dowman,Dowman,MID,Arsenal,5.4,a,,,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,385,2089,385,2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
22,Ethan,Nwaneri,Nwaneri,MID,Arsenal,5.5,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67,289,67,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
23,Fábio,Ferreira Vieira,Fábio Vieira,MID,Arsenal,5.5,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67,186,67,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
24,Reiss,Nelson,Nelson,MID,Arsenal,5.5,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55,138,55,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
25,Viktor,Gyökeres,Gyökeres,FWD,Arsenal,7.4,a,,,7.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7784,190768,7784,190768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
26,Kai,Havertz,Havertz,FWD,Arsenal,7.5,a,,,7.3,6.0,6.0,6,90,1,0,1,0.26,0.03,37.2,13.2,25.0,7.5,34,0,158923,29922,158923,29922,90.0,1.0,0.0,1.0,0.0,34.0,6.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
27,Gabriel,Fernando de Jesus,G.Jesus,FWD,Arsenal,6.0,a,,,0.3,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1666,6258,1666,6258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
31,Ezri,Konsa Ngoyo,Konsa,DEF,Arsenal,4.5,a,,,11.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,40386,196807,40386,196807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
452,Bruno,Guimarães Rodriguez Moura,Bruno G.,MID,Arsenal,7.0,d,Thigh injury - 75% chance of playing,75.0,2.9,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,734,106982,734,106982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MINOR_RISK,0.75,7.5,0.08333333333333333,VERY_HIGH,0
557,Christos,Tzolis,Tzolis,MID,Arsenal,6.5,a,,,25.9,6.0,6.0,6,75,0,1,1,0.19,0.14,17.0,39.8,30.0,8.7,30,0,196089,42614,196089,42614,75.0,0.0,1.0,1.0,0.0,30.0,6.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
28,Emiliano,Martínez Romero,Martinez,GKP,Aston Villa,5.0,a,,,4.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9775,47253,9775,47253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
29,Marco,Bizot,M.Bizot,GKP,Aston Villa,4.5,a,,,0.1,1.0,1.0,1,90,0,0,0,0.0,0.0,28.2,0.0,0.0,2.8,1,0,665,685,665,685,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
30,Lucas,Digne,Digne,DEF,Aston Villa,4.5,u,Has joined Paris Saint-Germain permanently,0.0,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4571,0,4571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
32,Matty,Cash,Cash,DEF,Aston Villa,4.5,a,,,7.8,-1.0,-1.0,-1,90,0,0,0,0.0,0.0,12.0,1.1,0.0,1.3,-8,0,25579,86742,25579,86742,90.0,0.0,0.0,0.0,0.0,-8.0,-1.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
33,Tyrone,Mings,Mings,DEF,Aston Villa,4.5,a,,,0.4,1.0,1.0,1,16,0,0,0,0.0,0.0,2.0,0.0,0.0,0.2,5,0,2992,2921,2992,2921,16.0,0.0,0.0,0.0,0.0,5.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
34,Pau,Torres,Pau,DEF,Aston Villa,4.5,a,,,0.4,0.0,0.0,0,73,0,0,0,0.0,0.0,0.0,0.7,0.0,0.0,-14,0,1742,4150,1742,4150,73.0,0.0,0.0,0.0,0.0,-14.0,0.0,1,1,AVAILABLE,1.0,75.0,0.8333333333333334,MEDIUM,1
35,Lamare,Bogarde,Bogarde,MID,Aston Villa,5.0,a,,,0.1,1.0,1.0,1,16,0,0,0,0.0,0.0,2.2,0.5,0.0,0.3,3,0,578,809,578,809,16.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
36,Ian,Maatsen,Maatsen,DEF,Aston Villa,4.5,a,,,0.8,0.0,0.0,0,81,0,0,0,0.03,0.0,9.2,0.8,3.0,1.3,-9,0,2348,7256,2348,7256,81.0,0.0,0.0,0.0,0.0,-9.0,0.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
