fpl_id,fpl_name,understat_name,understat_id,normalized_name
318.0,Erling Haaland,Erling Haaland,8260,erling haaland
427.0,Harry Kane,Harry Kane,647,harry kane
80.0,Ivan Toney,Ivan Toney,998,ivan toney
283.0,Mohamed Salah,Mohamed Salah,1250,mohamed salah
356.0,Callum Wilson,Callum Wilson,468,callum wilson
335.0,Marcus Rashford,Marcus Rashford,556,marcus rashford
,,Martin Odegaard,2517,martin odegaard
,,Gabriel Martinelli,7752,gabriel martinelli
40.0,Ollie Watkins,Ollie Watkins,8865,ollie watkins
210.0,Aleksandar Mitrović,Aleksandar Mitrovic,773,aleksandar mitrovic
13.0,Bukayo Saka,Bukayo Saka,7322,bukayo saka
,,Rodrigo,2381,rodrigo
264.0,Harvey Barnes,Harvey Barnes,6681,harvey barnes
279.0,Roberto Firmino,Roberto Firmino,482,roberto firmino
,,Gabriel Jesus,5543,gabriel jesus
314.0,Phil Foden,Phil Foden,6055,phil foden
,,Miguel Almirón,7420,miguel almiron
428.0,Son Heung-min,Son Heung-Min,453,son heungmin
594.0,Alexander Isak,Alexander Isak,5232,alexander isak
261.0,James Maddison,James Maddison,6818,james maddison
397.0,Taiwo Awoniyi,Taiwo Awoniyi,7814,taiwo awoniyi
116.0,Alexis Mac Allister,Alexis Mac Allister,8379,alexis mac allister
169.0,Eberechi Eze,Eberechi Eze,8706,eberechi eze
104.0,Pascal Groß,Pascal Groß,239,pascal gro
407.0,James Ward-Prowse,James Ward-Prowse,843,james wardprowse
95.0,Bryan Mbeumo,Bryan Mbeumo,6552,bryan mbeumo
,,Darwin Núñez,10720,darwin nunez
319.0,Julián Álvarez,Julián Álvarez,10846,julian alvarez
300.0,Ilkay Gündogan,Ilkay Gündogan,314,ilkay gundogan
30.0,Danny Ings,Danny Ings,986,danny ings
,,Bruno Fernandes,1228,bruno fernandes
111.0,Leandro Trossard,Leandro Trossard,7698,leandro trossard
394.0,Brennan Johnson,Brennan Johnson,10760,brennan johnson
3.0,Granit Xhaka,Granit Xhaka,204,granit xhaka
301.0,Kevin De Bruyne,Kevin De Bruyne,447,kevin de bruyne
160.0,Wilfried Zaha,Wilfried Zaha,522,wilfried zaha
145.0,Kai Havertz,Kai Havertz,5220,kai havertz
89.0,Yoane Wissa,Yoane Wissa,5786,yoane wissa
70.0,Philip Billing,Philip Billing,6034,philip billing
534.0,Dwight McNeil,Dwight McNeil,6756,dwight mcneil
,,Diogo Jota,6854,diogo jota
124.0,Kaoru Mitoma,Kaoru Mitoma,10806,kaoru mitoma
680.0,Cody Gakpo,Cody Gakpo,11296,cody gakpo
,,Joelinton,87,joelinton
103.0,Danny Welbeck,Danny Welbeck,501,danny welbeck
345.0,Anthony Martial,Anthony Martial,553,anthony martial
304.0,Raheem Sterling,Raheem Sterling,618,raheem sterling
66.0,Dominic Solanke,Dominic Solanke,1679,dominic solanke
465.0,Jarrod Bowen,Jarrod Bowen,1776,jarrod bowen
464.0,Saïd Benrahma,Said Benrahma,3585,said benrahma
107.0,Solly March,Solly March,6049,solly march
,,Douglas Luiz,6122,douglas luiz
340.0,Jadon Sancho,Jadon Sancho,6345,jadon sancho
,,Rúben Neves,6853,ruben neves
,,Daniel Podence,8291,daniel podence
47.0,Jacob Ramsey,Jacob Ramsey,8941,jacob ramsey
596.0,Evan Ferguson,Evan Ferguson,10177,evan ferguson
458.0,Michail Antonio,Michail Antonio,531,michail antonio
262.0,Kelechi Iheanacho,Kelechi Iheanacho,620,kelechi iheanacho
305.0,Jack Grealish,Jack Grealish,675,jack grealish
,,Willian,700,willian
303.0,Riyad Mahrez,Riyad Mahrez,750,riyad mahrez
185.0,Abdoulaye Doucouré,Abdoulaye Doucouré,1726,abdoulaye doucoure
,,Jefferson Lerma,2182,jefferson lerma
,,Emiliano Buendía,2203,emiliano buendia
166.0,Odsonne Edouard,Odsonne Edouard,3697,odsonne edouard
440.0,Rodrigo Bentancur,Rodrigo Bentancur,6108,rodrigo bentancur
493.0,Morgan Gibbs-White,Morgan Gibbs-White,6857,morgan gibbswhite
88.0,Mathias Jensen,Mathias Jensen,7166,mathias jensen
,,Carlos Vinicius,7395,carlos vinicius
411.0,Che Adams,Che Adams,7700,che adams
233.0,Jack Harrison,Jack Harrison,8720,jack harrison
535.0,Marcus Tavernier,Marcus Tavernier,10741,marcus tavernier
123.0,Deniz Undav,Deniz Undav,10804,deniz undav
,,Luis Sinisterra,10866,luis sinisterra
433.0,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,343,pierreemile hjbjerg
159.0,Jordan Ayew,Jordan Ayew,672,jordan ayew
189.0,Demarai Gray,Demarai Gray,762,demarai gray
227.0,Patrick Bamford,Patrick Bamford,822,patrick bamford
,,Andreas Pereira,922,andreas pereira
,,Casemiro,2248,casemiro
,,Bernardo Silva,3635,bernardo silva
45.0,Leon Bailey,Leon Bailey,5221,leon bailey
467.0,Declan Rice,Declan Rice,5553,declan rice
365.0,Jacob Murphy,Jacob Murphy,6063,jacob murphy
11.0,Eddie Nketiah,Eddie Nketiah,6482,eddie nketiah
,,Bobby Reid,6827,bobby reid
,,Lucas Paquetá,7365,lucas paqueta
,,João Félix,7892,joao felix
195.0,Anthony Gordon,Anthony Gordon,8150,anthony gordon
,,Bruno Guimarães,8327,bruno guimaraes
240.0,Crysencio Summerville,Crysencio Summerville,9492,crysencio summerville
271.0,Patson Daka,Patson Daka,9738,patson daka
83.0,Josh Dasilva,Josh Dasilva,10405,josh dasilva
293.0,Luis Díaz,Luis Díaz,10408,luis diaz
562.0,Manor Solomon,Manor Solomon,10716,manor solomon
62.0,Kieffer Moore,Kieffer Moore,10743,kieffer moore
125.0,Julio Enciso,Julio Enciso,11058,julio enciso
,,Antony,11094,antony
693.0,Carlos Alcaraz,Carlos Alcaraz,11297,carlos alcaraz
255.0,Jamie Vardy,Jamie Vardy,755,jamie vardy
161.0,Jeffrey Schlupp,Jeffrey Schlupp,757,jeffrey schlupp
280.0,Virgil van Dijk,Virgil van Dijk,833,virgil van dijk
211.0,Harrison Reed,Harrison Reed,910,harrison reed
526.0,Ben Mee,Ben Mee,1654,ben mee
6.0,Thomas Partey,Thomas Partey,2328,thomas partey
,,Pablo Fornals,2335,pablo fornals
354.0,Chris Wood,Chris Wood,4456,chris wood
,,Gabriel,5613,gabriel
259.0,Youri Tielemans,Youri Tielemans,5956,youri tielemans
529.0,Gianluca Scamacca,Gianluca Scamacca,6253,gianluca scamacca
23.0,Reiss Nelson,Reiss Nelson,6492,reiss nelson
373.0,Joe Willock,Joe Willock,6630,joe willock
291.0,Curtis Jones,Curtis Jones,6665,curtis jones
733.0,Pedro Porro,Pedro Porro,6912,pedro porro
142.0,Mason Mount,Mason Mount,7768,mason mount
,,Hee-Chan Hwang,8845,heechan hwang
148.0,Conor Gallagher,Conor Gallagher,9040,conor gallagher
92.0,Ethan Pinnock,Ethan Pinnock,9678,ethan pinnock
86.0,Vitaly Janelt,Vitaly Janelt,9680,vitaly janelt
569.0,Alejandro Garnacho,Alejandro Garnacho,10552,alejandro garnacho
,,João Palhinha,10715,joao palhinha
75.0,Jaidon Anthony,Jaidon Anthony,10746,jaidon anthony
244.0,Rasmus Kristensen,Rasmus Kristensen,10750,rasmus kristensen
,,Danilo,11317,danilo
101.0,Adam Lallana,Adam Lallana,486,adam lallana
186.0,Alex Iwobi,Alex Iwobi,500,alex iwobi
400.0,Theo Walcott,Theo Walcott,503,theo walcott
302.0,John Stones,John Stones,586,john stones
430.0,Eric Dier,Eric Dier,643,eric dier
499.0,Ben Davies,Ben Davies,660,ben davies
432.0,Ben Davies,Ben Davies,660,ben davies
34.0,Bertrand Traoré,Bertrand Traoré,695,bertrand traore
139.0,Ben Chilwell,Ben Chilwell,782,ben chilwell
,,Adama Traoré,900,adama traore
461.0,Kurt Zouma,Kurt Zouma,935,kurt zouma
520.0,Kalidou Koulibaly,Kalidou Koulibaly,1376,kalidou koulibaly
,,Jorginho,1389,jorginho
285.0,Trent Alexander-Arnold,Trent Alexander-Arnold,1791,trent alexanderarnold
306.0,João Cancelo,João Cancelo,2379,joao cancelo
,,Rodri,2496,rodri
408.0,Adam Armstrong,Adam Armstrong,4419,adam armstrong
191.0,Dominic Calvert-Lewin,Dominic Calvert-Lewin,5555,dominic calvertlewin
231.0,Daniel James,Daniel James,5595,daniel james
212.0,Harry Wilson,Harry Wilson,5596,harry wilson
168.0,Jean-Philippe Mateta,Jean-Philippe Mateta,5735,jeanphilippe mateta
258.0,Timothy Castagne,Timothy Castagne,6157,timothy castagne
417.0,Romain Perraud,Romain Perraud,6500,romain perraud
188.0,Yerry Mina,Yerry Mina,6521,yerry mina
