fpl_id,fpl_name,understat_name,understat_id,normalized_name
328.0,Mohamed Salah,Mohamed Salah,1250,mohamed salah
351.0,Erling Haaland,Erling Haaland,8260,erling haaland
401.0,Alexander Isak,Alexander Isak,5232,alexander isak
447.0,Chris Wood,Chris Wood,4456,chris wood
99.0,Bryan Mbeumo,Bryan Mbeumo,6552,bryan mbeumo
182.0,Cole Palmer,Cole Palmer,8497,cole palmer
207.0,Jean-Philippe Mateta,Jean-Philippe Mateta,5735,jeanphilippe mateta
110.0,Yoane Wissa,Yoane Wissa,5786,yoane wissa
,,Matheus Cunha,7080,matheus cunha
58.0,Ollie Watkins,Ollie Watkins,8865,ollie watkins
71.0,Justin Kluivert,Justin Kluivert,6963,justin kluivert
268.0,Liam Delap,Liam Delap,8868,liam delap
491.0,Brennan Johnson,Brennan Johnson,10760,brennan johnson
566.0,Jørgen Strand Larsen,Jørgen Strand Larsen,11070,jrgen strand larsen
252.0,Raúl Jiménez,Raúl Jiménez,4105,raul jimenez
327.0,Luis Díaz,Luis Díaz,10408,luis diaz
4.0,Kai Havertz,Kai Havertz,5220,kai havertz
494.0,James Maddison,James Maddison,6818,james maddison
180.0,Nicolas Jackson,Nicolas Jackson,10048,nicolas jackson
,,Evanilson,12963,evanilson
247.0,Alex Iwobi,Alex Iwobi,500,alex iwobi
148.0,Danny Welbeck,Danny Welbeck,501,danny welbeck
,,Bruno Fernandes,1228,bruno fernandes
514.0,Jarrod Bowen,Jarrod Bowen,1776,jarrod bowen
,,João Pedro,8272,joao pedro
,,Rodrigo Muniz,10717,rodrigo muniz
321.0,Cody Gakpo,Cody Gakpo,11296,cody gakpo
54.0,Morgan Rogers,Morgan Rogers,12412,morgan rogers
503.0,Son Heung-min,Son Heung-Min,453,son heungmin
306.0,Jamie Vardy,Jamie Vardy,755,jamie vardy
,,Dominic Solanke,1679,dominic solanke
585.0,Ismaïla Sarr,Ismaila Sarr,5675,ismaila sarr
348.0,Phil Foden,Phil Foden,6055,phil foden
402.0,Jacob Murphy,Jacob Murphy,6063,jacob murphy
492.0,Dejan Kulusevski,Dejan Kulusevski,6691,dejan kulusevski
530.0,Tomáš Souček,Tomas Soucek,8288,tomas soucek
106.0,Kevin Schade,Kevin Schade,9156,kevin schade
232.0,Iliman Ndiaye,Iliman Ndiaye,9307,iliman ndiaye
74.0,Dango Ouattara,Dango Ouattara,9662,dango ouattara
,,Kaoru Mitoma,10806,kaoru mitoma
177.0,Noni Madueke,Noni Madueke,11357,noni madueke
78.0,Antoine Semenyo,Antoine Semenyo,11363,antoine semenyo
38.0,Jhon Durán,Jhon Durán,11366,jhon duran
633.0,Mikel Merino,Mikel Merino,5304,mikel merino
392.0,Harvey Barnes,Harvey Barnes,6681,harvey barnes
,,Diogo Jota,6854,diogo jota
17.0,Bukayo Saka,Bukayo Saka,7322,bukayo saka
,,Gabriel Martinelli,7752,gabriel martinelli
,,Amad Diallo Traore,8127,amad diallo traore
398.0,Anthony Gordon,Anthony Gordon,8150,anthony gordon
432.0,Anthony Elanga,Anthony Elanga,9524,anthony elanga
,,Beto,9983,beto
385.0,Marcus Rashford,Marcus Rashford,556,marcus rashford
259.0,Harry Wilson,Harry Wilson,5596,harry wilson
434.0,Callum Hudson-Odoi,Callum Hudson-Odoi,6456,callum hudsonodoi
433.0,Morgan Gibbs-White,Morgan Gibbs-White,6857,morgan gibbswhite
618.0,Georginio Rutter,Georginio Rutter,6937,georginio rutter
,,Emile Smith-Rowe,7230,emile smithrowe
23.0,Leandro Trossard,Leandro Trossard,7698,leandro trossard
755.0,Omar Marmoush,Omar Marmoush,8393,omar marmoush
336.0,Dominik Szoboszlai,Dominik Szoboszlai,9788,dominik szoboszlai
350.0,Joško Gvardiol,Josko Gvardiol,9790,josko gvardiol
,,Darwin Núñez,10720,darwin nunez
168.0,Enzo Fernández,Enzo Fernández,11356,enzo fernandez
135.0,Yankuba Minteh,Yankuba Minteh,12759,yankuba minteh
,,Joelinton,87,joelinton
192.0,Jordan Ayew,Jordan Ayew,672,jordan ayew
354.0,Mateo Kovačić,Mateo Kovacic,2254,mateo kovacic
573.0,Nikola Milenković,Nikola Milenkovic,6174,nikola milenkovic
101.0,Christian Nørgaard,Christian Nørgaard,7083,christian nrgaard
,,Marc Cucurella,7134,marc cucurella
,,Lucas Paquetá,7365,lucas paqueta
329.0,Alexis Mac Allister,Alexis Mac Allister,8379,alexis mac allister
372.0,Alejandro Garnacho,Alejandro Garnacho,10552,alejandro garnacho
470.0,Paul Onuachu,Paul Onuachu,11360,paul onuachu
117.0,Facundo Buonanotte,Facundo Buonanotte,11362,facundo buonanotte
211.0,Daniel Muñoz,Daniel Muñoz,12408,daniel munoz
,,Sammie Szmodics,12752,sammie szmodics
29.0,Ross Barkley,Ross Barkley,592,ross barkley
762.0,Marco Asensio,Marco Asensio,2117,marco asensio
20.0,Thomas Partey,Thomas Partey,2328,thomas partey
181.0,Christopher Nkunku,Christopher Nkunku,3300,christopher nkunku
,,Gabriel Jesus,5543,gabriel jesus
220.0,Dominic Calvert-Lewin,Dominic Calvert-Lewin,5555,dominic calvertlewin
,,Gabriel,5613,gabriel
589.0,Niclas Füllkrug,Niclas Füllkrug,6098,niclas fullkrug
,,Pedro Neto,6382,pedro neto
159.0,Trevoh Chalobah,Trevoh Chalobah,6615,trevoh chalobah
324.0,Curtis Jones,Curtis Jones,6665,curtis jones
,,Rayan Ait Nouri,6674,rayan ait nouri
230.0,Dwight McNeil,Dwight McNeil,6756,dwight mcneil
579.0,Ryan Sessegnon,Ryan Sessegnon,6837,ryan sessegnon
298.0,Stephy Mavididi,Stephy Mavididi,7484,stephy mavididi
200.0,Marc Guéhi,Marc Guehi,7603,marc guehi
389.0,Joshua Zirkzee,Joshua Zirkzee,8044,joshua zirkzee
,,Bruno Guimarães,8327,bruno guimaraes
346.0,Jérémy Doku,Jéremy Doku,8981,jeremy doku
,,Pape Sarr,9021,pape sarr
,,Omari Hutchinson,10348,omari hutchinson
83.0,Marcus Tavernier,Marcus Tavernier,10741,marcus tavernier
,,Joe Ayodele-Aribo,10766,joe ayodelearibo
375.0,Rasmus Højlund,Rasmus Højlund,11055,rasmus hjlund
12.0,Ethan Nwaneri,Ethan Nwaneri,11132,ethan nwaneri
,,João Gomes,11384,joao gomes
525.0,Mohammed Kudus,Mohammed Kudus,12027,mohammed kudus
,,Jota Silva,12766,jota silva
415.0,Fabian Schär,Fabian Schär,76,fabian schar
345.0,Kevin De Bruyne,Kevin De Bruyne,447,kevin de bruyne
362.0,John Stones,John Stones,586,john stones
422.0,Ola Aina,Ola Aina,725,ola aina
239.0,Adama Traoré,Adama Traoré,900,adama traore
,,Andreas Pereira,922,andreas pereira
,,Emerson,1245,emerson
228.0,Michael Keane,Michael Keane,1653,michael keane
217.0,Abdoulaye Doucouré,Abdoulaye Doucouré,1726,abdoulaye doucoure
311.0,Trent Alexander-Arnold,Trent Alexander-Arnold,1791,trent alexanderarnold
565.0,Pablo Sarabia,Pablo Sarabia,2199,pablo sarabia
,,Martin Odegaard,2517,martin odegaard
,,Bernardo Silva,3635,bernardo silva
453.0,Adam Armstrong,Adam Armstrong,4419,adam armstrong
16.0,Declan Rice,Declan Rice,5553,declan rice
388.0,Aaron Wan-Bissaka,Aaron Wan-Bissaka,5584,aaron wanbissaka
482.0,Yves Bissouma,Yves Bissouma,5609,yves bissouma
,,Gonçalo Guedes,5682,goncalo guedes
57.0,Youri Tielemans,Youri Tielemans,5956,youri tielemans
,,Richarlison,6026,richarlison
455.0,Jan Bednarek,Jan Bednarek,6042,jan bednarek
480.0,Rodrigo Bentancur,Rodrigo Bentancur,6108,rodrigo bentancur
65.0,Enes Ünal,Enes Ünal,6219,enes unal
386.0,Jadon Sancho,Jadon Sancho,6345,jadon sancho
62.0,David Brooks,David Brooks,6820,david brooks
543.0,Matt Doherty,Matt Doherty,6852,matt doherty
18.0,William Saliba,William Saliba,6888,william saliba
495.0,Pedro Porro,Pedro Porro,6912,pedro porro
295.0,James Justin,James Justin,7753,james justin
535.0,Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,7762,jeanricner bellegarde
593.0,Matthijs de Ligt,Matthijs de Ligt,7902,matthijs de ligt
417.0,Sandro Tonali,Sandro Tonali,7958,sandro tonali
578.0,Riccardo Calafiori,Riccardo Calafiori,8129,riccardo calafiori
131.0,Tariq Lamptey,Tariq Lamptey,8226,tariq lamptey
272.0,George Hirst,George Hirst,8563,george hirst
199.0,Eberechi Eze,Eberechi Eze,8706,eberechi eze
,,Hee-Chan Hwang,8845,heechan hwang
89.0,Mikkel Damsgaard,Mikkel Damsgaard,8859,mikkel damsgaard
,,Jaden Philogene-Bidace,9415,jaden philogenebidace
,,Fabio Carvalho,9501,fabio carvalho
233.0,Amadou Onana,Amadou Onana,9667,amadou onana
